Year;GDPPerCapita
1960;111.342479726807
1961;109.473789894348
1962;109.51274273191
1963;117.870132492268
1964;123.685620758619
1965;134.304175808407
1966;138.759551616721
1967;143.807465698505
1968;156.826142742319
1969;141.82406865469
1970;102.304502926363
1971;135.316666831866
1972;68.9589808978356
1973;93.9937625590973
1974;77.8201989834368
1975;0
1976;0
1977;0
1978;0
1979;0
1980;0
1981;0
1982;0
1983;0
1984;0
1985;0
1986;0
1987;0
1988;0
1989;0
1990;0
1991;0
1992;0
1993;253.193194590561
1994;269.567070810982
1995;321.774633420566
1996;318.149535699497
1997;303.685899617203
1998;268.043043439002
1999;294.865211978005
2000;299.562237635792
2001;319.69245973546
2002;337.804253525763
2003;361.070347600538
2004;407.084906162166
2005;472.448855862778
2006;537.842479666876
2007;629.282877634499
2008;742.942923336176
2009;735.40752391652
2010;782.692789877004
2011;879.15124409234
2012;947.559438093798
2013;1009.9099221398
2014;1090.11509309744
2015;1139.685
2016;1216.897
2017;1302.741
2018;1400.66
2019;1505.143
2020;1617.793
