Year;GDPPerCapita
1960;100.767711254055
1961;107.49771513448
1962;113.78249441559
1963;118.143237227323
1964;125.937911018133
1965;137.918031117764
1966;161.005678571493
1967;166.924565533878
1968;174.787129870646
1969;186.880659177708
1970;192.125659576867
1971;194.258253481034
1972;209.356232854102
1973;269.851912881312
1974;332.117105015558
1975;351.548043163993
1976;391.482909700778
1977;445.319461942652
1978;528.50612044947
1979;589.749796020345
1980;682.774983582268
1981;720.899413249356
1982;742.704332601968
1983;797.933836914275
1984;817.870835941701
1985;747.494503880838
1986;813.104115564954
1987;936.196942583912
1988;1122.57886253188
1989;1294.51944556307
1990;1508.28790938489
1991;1716.61065700449
1992;1929.53096914349
1993;2146.56057985631
1994;2457.44665476185
1995;2834.98641755361
1996;3038.59063514286
1997;2492.22242178751
1998;1826.25103827931
1999;1978.73022225841
2000;1957.5489669499
2001;1821.9047250482
2002;1978.22744271095
2003;2200.64983039626
2004;2466.79871132775
2005;2677.51561150227
2006;3129.43753274188
2007;3722.13584900879
2008;4101.7974818647
2009;3962.71357954664
2010;4781.79939106487
2011;5166.76488754252
2012;5448.82835199041
2013;5741.20712181146
2014;5519.36111417152
2015;5426.295
2016;5697.492
2017;5952.218
2018;6250.289
2019;6557.065
2020;6839.286
