Year;GDPPerCapita
1960;254.431532708292
1961;267.15073496682
1962;156.681685616976
1963;168.01484190555
1964;175.92972269479
1965;187.113015288718
1966;199.93641452819
1967;207.424685813464
1968;224.623301140941
1969;241.703025232848
1970;186.769275230825
1971;201.033488167399
1972;211.399705320156
1973;258.363382609628
1974;343.242949778929
1975;360.671334072025
1976;402.665564463052
1977;450.123486734846
1978;506.087960903954
1979;596.399345198128
1980;684.651392234498
1981;731.729630249159
1982;741.78713763933
1983;645.45927422286
1984;594.025250483176
1985;565.762166025239
1986;535.237785748179
1987;579.20705035387
1988;643.824907056882
1989;704.990793000692
1990;715.310701511958
1991;715.12436170317
1992;814.032848215176
1993;815.666062406274
1994;939.103419492978
1995;1061.34619403523
1996;1159.73168732908
1997;1127.347175018
1998;967.193553696515
1999;1087.95832487496
2000;1039.70176411546
2001;958.01065696247
2002;1000.77840295353
2003;1011.28663543432
2004;1080.08615067759
2005;1196.54003017843
2006;1395.21338071308
2007;1678.85230927865
2008;1929.13343629097
2009;1836.87456519794
2010;2145.24171053314
2011;2371.85151486672
2012;2606.19698363909
2013;2788.37735779827
2014;2870.54451819533
2015;2951.153
2016;3192.149
2017;3475.666
2018;3790.202
2019;4142.672
2020;4529.876
